timestamp,bot_name,action,symbol,price,quantity,amount_usdt,pnl,pnl_percent,reasoning
2026-07-30T23:30:14.752696,DexSniper,BUY,特朗普,0.000000,0.000000,0.05,0.00,0.00,Sniped 特朗普 (特朗普)
2026-07-30T23:30:30.641781,ArbitrageScanner,SIGNAL,BAT/USDT,0.066800,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.404%
2026-07-30T23:30:30.642783,ArbitrageScanner,SIGNAL,PEPE/USDT,0.000003,0.000000,0.00,0.00,0.00,Buy bybit Sell binance Spread 0.289%
2026-07-30T23:30:30.644786,ArbitrageScanner,SIGNAL,GRT/USDT,0.014850,0.000000,0.00,0.00,0.00,Buy bybit Sell binance Spread 0.269%
2026-07-30T23:31:38.081688,ArbitrageScanner,SIGNAL,MANA/USDT,0.067000,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.358%
2026-07-30T23:31:38.083690,ArbitrageScanner,SIGNAL,PEPE/USDT,0.000003,0.000000,0.00,0.00,0.00,Buy bybit Sell binance Spread 0.289%
2026-07-30T23:31:38.084691,ArbitrageScanner,SIGNAL,GRT/USDT,0.014850,0.000000,0.00,0.00,0.00,Buy bybit Sell binance Spread 0.202%
2026-07-30T23:32:45.605664,ArbitrageScanner,SIGNAL,GRT/USDT,0.014850,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.269%
2026-07-30T23:32:45.606665,ArbitrageScanner,SIGNAL,ENJ/USDT,0.024910,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.201%
2026-07-30T23:32:45.607667,ArbitrageScanner,SIGNAL,AXS/USDT,0.833000,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.168%
2026-07-30T23:33:54.628897,ArbitrageScanner,SIGNAL,GRT/USDT,0.014850,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.337%
2026-07-30T23:33:54.629898,ArbitrageScanner,SIGNAL,SNX/USDT,0.209400,0.000000,0.00,0.00,0.00,Buy bybit Sell binance Spread 0.287%
2026-07-30T23:33:54.630899,ArbitrageScanner,SIGNAL,PEPE/USDT,0.000003,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.217%
2026-07-30T23:35:02.494065,ArbitrageScanner,SIGNAL,GRT/USDT,0.014850,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.337%
2026-07-30T23:35:02.496066,ArbitrageScanner,SIGNAL,SNX/USDT,0.209000,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.335%
2026-07-30T23:35:02.497067,ArbitrageScanner,SIGNAL,PEPE/USDT,0.000003,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.217%
2026-07-30T23:36:10.987872,ArbitrageScanner,SIGNAL,GRT/USDT,0.014850,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.337%
2026-07-30T23:36:10.989874,ArbitrageScanner,SIGNAL,SNX/USDT,0.209000,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.335%
2026-07-30T23:36:12.504998,ArbitrageScanner,SIGNAL,ENJ/USDT,0.024900,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.241%
